call_id,caller_id,receiver_id,caller_phone,receiver_phone,phase,timestamp,duration_seconds,recording_id,tower_id,source
CALL-0001,P089,P001,9995619255,9786579303,1,Phase-1,684,REC-0001,TWR-0017,call_records_synthetic
CALL-0002,P083,P001,9349957310,9786579303,1,Phase-1,144,REC-0002,TWR-0002,call_records_synthetic
CALL-0003,P003,P001,9126855092,9786579303,1,Phase-1,55,REC-0003,TWR-0017,call_records_synthetic
CALL-0004,P003,P001,9126855092,9786579303,1,Phase-1,789,REC-0004,TWR-0017,call_records_synthetic
CALL-0005,P088,P001,9782560971,9786579303,1,Phase-1,311,REC-0005,TWR-0025,call_records_synthetic
CALL-0006,P085,P001,9508157429,9786579303,1,Phase-1,280,REC-0006,TWR-0021,call_records_synthetic
CALL-0007,P001,P004,9786579303,9896233790,1,Phase-1,258,REC-0007,TWR-0027,call_records_synthetic
CALL-0008,P001,P089,9786579303,9995619255,1,Phase-1,172,REC-0008,TWR-0024,call_records_synthetic
CALL-0009,P001,P089,9786579303,9995619255,1,Phase-1,784,REC-0009,TWR-0014,call_records_synthetic
CALL-0010,P001,P089,9786579303,9995619255,1,Phase-1,134,REC-0010,TWR-0017,call_records_synthetic
CALL-0011,P001,P089,9786579303,9995619255,1,Phase-1,722,REC-0011,TWR-0025,call_records_synthetic
CALL-0012,P007,P089,9339670711,9995619255,1,Phase-1,788,REC-0012,TWR-0002,call_records_synthetic
CALL-0013,P007,P089,9339670711,9995619255,1,Phase-1,588,REC-0013,TWR-0025,call_records_synthetic
CALL-0014,P001,P003,9786579303,9126855092,1,Phase-1,119,REC-0014,TWR-0032,call_records_synthetic
CALL-0015,P001,P003,9786579303,9126855092,1,Phase-1,634,REC-0015,TWR-0016,call_records_synthetic
CALL-0016,P001,P003,9786579303,9126855092,1,Phase-1,462,REC-0016,TWR-0021,call_records_synthetic
CALL-0017,P001,P003,9786579303,9126855092,1,Phase-1,62,REC-0017,TWR-0015,call_records_synthetic
CALL-0018,P088,P003,9782560971,9126855092,1,Phase-1,60,REC-0018,TWR-0022,call_records_synthetic
CALL-0019,P001,P005,9786579303,9395310485,1,Phase-1,125,REC-0019,TWR-0027,call_records_synthetic
CALL-0020,P001,P005,9786579303,9395310485,1,Phase-1,253,REC-0020,TWR-0016,call_records_synthetic
CALL-0021,P001,P088,9786579303,9782560971,1,Phase-1,268,REC-0021,TWR-0016,call_records_synthetic
CALL-0022,P001,P088,9786579303,9782560971,1,Phase-1,547,REC-0022,TWR-0002,call_records_synthetic
