mapping_id,source,source_record_id,source_entity_type,source_value,canonical_entity_id,canonical_entity_type,match_method,confidence,status
MAP-P-001,persons_synthetic,1,Person,Aarav Sharma1,P001,Person,PRIMARY_KEY,1.0,STRONG
MAP-P-002,persons_synthetic,2,Person,Arjun Mehta2,P002,Person,PRIMARY_KEY,1.0,STRONG
MAP-P-003,persons_synthetic,3,Person,Rohan Verma3,P003,Person,PRIMARY_KEY,1.0,STRONG
MAP-P-004,persons_synthetic,4,Person,Vikram Singh4,P004,Person,PRIMARY_KEY,1.0,STRONG
MAP-P-005,persons_synthetic,5,Person,Rahul Patel5,P005,Person,PRIMARY_KEY,1.0,STRONG
MAP-P-006,persons_synthetic,6,Person,Aditya Rao6,P006,Person,PRIMARY_KEY,1.0,STRONG
MAP-P-007,persons_synthetic,7,Person,Karan Gupta7,P007,Person,PRIMARY_KEY,1.0,STRONG
MAP-P-008,persons_synthetic,8,Person,Manish Kumar8,P008,Person,PRIMARY_KEY,1.0,STRONG
MAP-P-009,persons_synthetic,9,Person,Sahil Khan9,P009,Person,PRIMARY_KEY,1.0,STRONG
MAP-P-010,persons_synthetic,10,Person,Nikhil Joshi10,P010,Person,PRIMARY_KEY,1.0,STRONG
MAP-P-011,persons_synthetic,11,Person,Amit Shah11,P011,Person,PRIMARY_KEY,1.0,STRONG
MAP-P-012,persons_synthetic,12,Person,Raj Malhotra12,P012,Person,PRIMARY_KEY,1.0,STRONG
MAP-P-013,persons_synthetic,13,Person,Aarav Sharma13,P013,Person,PRIMARY_KEY,1.0,STRONG
MAP-P-014,persons_synthetic,14,Person,Arjun Mehta14,P014,Person,PRIMARY_KEY,1.0,STRONG
MAP-P-015,persons_synthetic,15,Person,Rohan Verma15,P015,Person,PRIMARY_KEY,1.0,STRONG
MAP-P-016,persons_synthetic,16,Person,Vikram Singh16,P016,Person,PRIMARY_KEY,1.0,STRONG
MAP-P-017,persons_synthetic,17,Person,Rahul Patel17,P017,Person,PRIMARY_KEY,1.0,STRONG
MAP-P-018,persons_synthetic,18,Person,Aditya Rao18,P018,Person,PRIMARY_KEY,1.0,STRONG
MAP-P-019,persons_synthetic,19,Person,Karan Gupta19,P019,Person,PRIMARY_KEY,1.0,STRONG
MAP-P-020,persons_synthetic,20,Person,Manish Kumar20,P020,Person,PRIMARY_KEY,1.0,STRONG
MAP-P-021,persons_synthetic,21,Person,Sahil Khan21,P021,Person,PRIMARY_KEY,1.0,STRONG
MAP-P-022,persons_synthetic,22,Person,Nikhil Joshi22,P022,Person,PRIMARY_KEY,1.0,STRONG
MAP-P-023,persons_synthetic,23,Person,Amit Shah23,P023,Person,PRIMARY_KEY,1.0,STRONG
