transaction_id,sender_actor_id,receiver_actor_id,sender_person_id,receiver_person_id,transaction_type,amount_inr,phase,account_ref,risk_flag,source
TXN-00001,1,39,P001,P039,UPI,119686.57,Phase-3,ACCT-59565,WATCH,synthetic_financial_records
TXN-00002,59,72,P059,P072,CASH_DEPOSIT,96684.74,Phase-3,ACCT-63772,NORMAL,synthetic_financial_records
TXN-00003,108,30,P108,P030,CARD_PAYMENT,169384.7,Phase-1,ACCT-92998,HIGH,synthetic_financial_records
TXN-00004,9,90,P009,P090,CASH_WITHDRAWAL,236526.83,Phase-2,ACCT-63219,NORMAL,synthetic_financial_records
TXN-00005,103,107,P103,P107,CARD_PAYMENT,33590.12,Phase-1,ACCT-78865,NORMAL,synthetic_financial_records
TXN-00006,74,108,P074,P108,CASH_DEPOSIT,35706.55,Phase-1,ACCT-66462,HIGH,synthetic_financial_records
TXN-00007,44,69,P044,P069,CARD_PAYMENT,176034.67,Phase-1,ACCT-88472,WATCH,synthetic_financial_records
TXN-00008,41,28,P041,P028,CASH_WITHDRAWAL,46309.22,Phase-1,ACCT-93807,NORMAL,synthetic_financial_records
TXN-00009,59,26,P059,P026,CASH_DEPOSIT,230041.69,Phase-2,ACCT-15993,NORMAL,synthetic_financial_records
TXN-00010,89,59,P089,P059,UPI,9764.58,Phase-2,ACCT-32777,WATCH,synthetic_financial_records
TXN-00011,43,86,P043,P086,TRANSFER,39866.31,Phase-2,ACCT-26945,NORMAL,synthetic_financial_records
TXN-00012,6,85,P006,P085,CARD_PAYMENT,202443.74,Phase-3,ACCT-92009,HIGH,synthetic_financial_records
TXN-00013,10,18,P010,P018,TRANSFER,69846.31,Phase-3,ACCT-44477,HIGH,synthetic_financial_records
TXN-00014,89,49,P089,P049,CARD_PAYMENT,181365.55,Phase-3,ACCT-79416,HIGH,synthetic_financial_records
TXN-00015,7,3,P007,P003,CASH_DEPOSIT,178440.97,Phase-3,ACCT-74570,NORMAL,synthetic_financial_records
TXN-00016,108,42,P108,P042,TRANSFER,49813.07,Phase-2,ACCT-63672,NORMAL,synthetic_financial_records
TXN-00017,83,77,P083,P077,CASH_DEPOSIT,240091.65,Phase-2,ACCT-80984,HIGH,synthetic_financial_records
TXN-00018,93,1,P093,P001,UPI,62041.5,Phase-2,ACCT-67453,WATCH,synthetic_financial_records
TXN-00019,106,58,P106,P058,CASH_WITHDRAWAL,72205.37,Phase-3,ACCT-43275,HIGH,synthetic_financial_records
TXN-00020,103,104,P103,P104,CASH_WITHDRAWAL,95450.75,Phase-1,ACCT-89922,NORMAL,synthetic_financial_records
TXN-00021,13,49,P013,P049,CASH_WITHDRAWAL,137266.0,Phase-2,ACCT-31904,NORMAL,synthetic_financial_records
TXN-00022,67,28,P067,P028,CASH_WITHDRAWAL,93323.35,Phase-3,ACCT-27892,HIGH,synthetic_financial_records
TXN-00023,6,83,P006,P083,CASH_WITHDRAWAL,202404.23,Phase-2,ACCT-59434,HIGH,synthetic_financial_records
TXN-00024,86,44,P086,P044,CARD_PAYMENT,170685.82,Phase-3,ACCT-74312,NORMAL,synthetic_financial_records
TXN-00025,31,12,P031,P012,UPI,193833.57,Phase-2,ACCT-68561,NORMAL,synthetic_financial_records
TXN-00026,85,64,P085,P064,UPI,43643.6,Phase-2,ACCT-46702,NORMAL,synthetic_financial_records
TXN-00027,4,91,P004,P091,CASH_WITHDRAWAL,247687.62,Phase-1,ACCT-87092,HIGH,synthetic_financial_records
TXN-00028,103,104,P103,P104,CARD_PAYMENT,126360.47,Phase-3,ACCT-34360,HIGH,synthetic_financial_records
TXN-00029,49,30,P049,P030,CARD_PAYMENT,233310.05,Phase-2,ACCT-38395,WATCH,synthetic_financial_records
TXN-00030,15,72,P015,P072,TRANSFER,121205.33,Phase-3,ACCT-12768,WATCH,synthetic_financial_records
TXN-00031,99,58,P099,P058,CARD_PAYMENT,33855.61,Phase-2,ACCT-79725,WATCH,synthetic_financial_records
TXN-00032,42,27,P042,P027,TRANSFER,168427.3,Phase-2,ACCT-43319,WATCH,synthetic_financial_records
TXN-00033,99,7,P099,P007,CARD_PAYMENT,96136.88,Phase-1,ACCT-96608,NORMAL,synthetic_financial_records
TXN-00034,74,35,P074,P035,CARD_PAYMENT,18702.38,Phase-1,ACCT-81835,NORMAL,synthetic_financial_records
TXN-00035,83,27,P083,P027,CASH_DEPOSIT,8599.33,Phase-1,ACCT-98673,NORMAL,synthetic_financial_records
TXN-00036,16,95,P016,P095,UPI,89150.92,Phase-2,ACCT-68324,NORMAL,synthetic_financial_records
TXN-00037,106,103,P106,P103,CARD_PAYMENT,57676.73,Phase-3,ACCT-33224,NORMAL,synthetic_financial_records
TXN-00038,80,85,P080,P085,CASH_DEPOSIT,237693.39,Phase-1,ACCT-46159,NORMAL,synthetic_financial_records
TXN-00039,31,73,P031,P073,CARD_PAYMENT,49684.48,Phase-3,ACCT-51545,HIGH,synthetic_financial_records
TXN-00040,30,75,P030,P075,CASH_WITHDRAWAL,170703.76,Phase-2,ACCT-29243,WATCH,synthetic_financial_records
TXN-00041,83,104,P083,P104,TRANSFER,226877.19,Phase-2,ACCT-63414,NORMAL,synthetic_financial_records
TXN-00042,93,5,P093,P005,CARD_PAYMENT,111684.15,Phase-1,ACCT-11667,WATCH,synthetic_financial_records
TXN-00043,92,81,P092,P081,CASH_DEPOSIT,119291.12,Phase-3,ACCT-80293,WATCH,synthetic_financial_records
TXN-00044,67,53,P067,P053,CASH_WITHDRAWAL,211751.06,Phase-1,ACCT-15737,NORMAL,synthetic_financial_records
TXN-00045,66,8,P066,P008,CASH_WITHDRAWAL,61196.1,Phase-2,ACCT-28339,NORMAL,synthetic_financial_records
TXN-00046,71,86,P071,P086,CARD_PAYMENT,215726.03,Phase-1,ACCT-92598,HIGH,synthetic_financial_records
TXN-00047,49,11,P049,P011,CASH_DEPOSIT,54354.06,Phase-3,ACCT-55896,HIGH,synthetic_financial_records
TXN-00048,6,72,P006,P072,CASH_WITHDRAWAL,206435.58,Phase-2,ACCT-40892,NORMAL,synthetic_financial_records
TXN-00049,62,74,P062,P074,TRANSFER,43731.42,Phase-1,ACCT-10022,NORMAL,synthetic_financial_records
TXN-00050,43,88,P043,P088,CASH_WITHDRAWAL,23091.43,Phase-2,ACCT-20585,NORMAL,synthetic_financial_records
TXN-00051,4,63,P004,P063,CASH_DEPOSIT,44871.85,Phase-3,ACCT-58132,NORMAL,synthetic_financial_records
TXN-00052,75,17,P075,P017,UPI,151567.46,Phase-3,ACCT-79556,HIGH,synthetic_financial_records
TXN-00053,3,5,P003,P005,UPI,230504.21,Phase-3,ACCT-59837,HIGH,synthetic_financial_records
TXN-00054,71,84,P071,P084,CARD_PAYMENT,77845.47,Phase-2,ACCT-52305,HIGH,synthetic_financial_records
TXN-00055,29,5,P029,P005,CARD_PAYMENT,173656.46,Phase-1,ACCT-17159,NORMAL,synthetic_financial_records
TXN-00056,19,68,P019,P068,TRANSFER,694.21,Phase-1,ACCT-94325,NORMAL,synthetic_financial_records
