node_id,node_type,properties_json
P001,Person,"{""actor_id"": 1, ""person_name"": ""Aarav Sharma1"", ""case_id"": ""CASE-1001""}"
PH579303,Phone,"{""phone_number"": ""9786579303""}"
P002,Person,"{""actor_id"": 2, ""person_name"": ""Arjun Mehta2"", ""case_id"": ""CASE-1002""}"
PH540831,Phone,"{""phone_number"": ""9219540831""}"
P003,Person,"{""actor_id"": 3, ""person_name"": ""Rohan Verma3"", ""case_id"": ""CASE-1003""}"
PH855092,Phone,"{""phone_number"": ""9126855092""}"
P004,Person,"{""actor_id"": 4, ""person_name"": ""Vikram Singh4"", ""case_id"": ""CASE-1004""}"
PH233790,Phone,"{""phone_number"": ""9896233790""}"
P005,Person,"{""actor_id"": 5, ""person_name"": ""Rahul Patel5"", ""case_id"": ""CASE-1005""}"
PH310485,Phone,"{""phone_number"": ""9395310485""}"
P006,Person,"{""actor_id"": 6, ""person_name"": ""Aditya Rao6"", ""case_id"": ""CASE-1006""}"
PH950628,Phone,"{""phone_number"": ""9362950628""}"
P007,Person,"{""actor_id"": 7, ""person_name"": ""Karan Gupta7"", ""case_id"": ""CASE-1007""}"
PH670711,Phone,"{""phone_number"": ""9339670711""}"
P008,Person,"{""actor_id"": 8, ""person_name"": ""Manish Kumar8"", ""case_id"": ""CASE-1008""}"
PH827706,Phone,"{""phone_number"": ""9249827706""}"
P009,Person,"{""actor_id"": 9, ""person_name"": ""Sahil Khan9"", ""case_id"": ""CASE-1009""}"
PH779946,Phone,"{""phone_number"": ""9890779946""}"
P010,Person,"{""actor_id"": 10, ""person_name"": ""Nikhil Joshi10"", ""case_id"": ""CASE-1010""}"
PH053353,Phone,"{""phone_number"": ""9210053353""}"
P011,Person,"{""actor_id"": 11, ""person_name"": ""Amit Shah11"", ""case_id"": ""CASE-1011""}"
PH600539,Phone,"{""phone_number"": ""9826600539""}"
P012,Person,"{""actor_id"": 12, ""person_name"": ""Raj Malhotra12"", ""case_id"": ""CASE-1012""}"
PH285932,Phone,"{""phone_number"": ""9895285932""}"
P013,Person,"{""actor_id"": 13, ""person_name"": ""Aarav Sharma13"", ""case_id"": ""CASE-1013""}"
PH582861,Phone,"{""phone_number"": ""9685582861""}"
P014,Person,"{""actor_id"": 14, ""person_name"": ""Arjun Mehta14"", ""case_id"": ""CASE-1014""}"
PH349856,Phone,"{""phone_number"": ""9193349856""}"
P015,Person,"{""actor_id"": 15, ""person_name"": ""Rohan Verma15"", ""case_id"": ""CASE-1015""}"
PH036506,Phone,"{""phone_number"": ""9734036506""}"
P016,Person,"{""actor_id"": 16, ""person_name"": ""Vikram Singh16"", ""case_id"": ""CASE-1016""}"
PH035110,Phone,"{""phone_number"": ""9553035110""}"
P017,Person,"{""actor_id"": 17, ""person_name"": ""Rahul Patel17"", ""case_id"": ""CASE-1017""}"
