person_id,actor_id,person_name,phone_number,case_id,source,source_record_id
P001,1,Aarav Sharma1,9786579303,CASE-1001,persons_synthetic,1
P002,2,Arjun Mehta2,9219540831,CASE-1002,persons_synthetic,2
P003,3,Rohan Verma3,9126855092,CASE-1003,persons_synthetic,3
P004,4,Vikram Singh4,9896233790,CASE-1004,persons_synthetic,4
P005,5,Rahul Patel5,9395310485,CASE-1005,persons_synthetic,5
P006,6,Aditya Rao6,9362950628,CASE-1006,persons_synthetic,6
P007,7,Karan Gupta7,9339670711,CASE-1007,persons_synthetic,7
P008,8,Manish Kumar8,9249827706,CASE-1008,persons_synthetic,8
P009,9,Sahil Khan9,9890779946,CASE-1009,persons_synthetic,9
P010,10,Nikhil Joshi10,9210053353,CASE-1010,persons_synthetic,10
P011,11,Amit Shah11,9826600539,CASE-1011,persons_synthetic,11
P012,12,Raj Malhotra12,9895285932,CASE-1012,persons_synthetic,12
P013,13,Aarav Sharma13,9685582861,CASE-1013,persons_synthetic,13
P014,14,Arjun Mehta14,9193349856,CASE-1014,persons_synthetic,14
P015,15,Rohan Verma15,9734036506,CASE-1015,persons_synthetic,15
P016,16,Vikram Singh16,9553035110,CASE-1016,persons_synthetic,16
P017,17,Rahul Patel17,9134126396,CASE-1017,persons_synthetic,17
P018,18,Aditya Rao18,9131994523,CASE-1018,persons_synthetic,18
P019,19,Karan Gupta19,9200604502,CASE-1019,persons_synthetic,19
P020,20,Manish Kumar20,9334760738,CASE-1020,persons_synthetic,20
P021,21,Sahil Khan21,9349817734,CASE-1021,persons_synthetic,21
P022,22,Nikhil Joshi22,9642621108,CASE-1022,persons_synthetic,22
P023,23,Amit Shah23,9746412689,CASE-1023,persons_synthetic,23
P024,24,Raj Malhotra24,9128492780,CASE-1024,persons_synthetic,24
P025,25,Aarav Sharma25,9702632297,CASE-1025,persons_synthetic,25
P026,26,Arjun Mehta26,9313500298,CASE-1026,persons_synthetic,26
P027,27,Rohan Verma27,9868820204,CASE-1027,persons_synthetic,27
P028,28,Vikram Singh28,9797808098,CASE-1028,persons_synthetic,28
P029,29,Rahul Patel29,9853041955,CASE-1029,persons_synthetic,29
P030,30,Aditya Rao30,9685126461,CASE-1030,persons_synthetic,30
P031,31,Karan Gupta31,9550455977,CASE-1031,persons_synthetic,31
P032,32,Manish Kumar32,9336696312,CASE-1032,persons_synthetic,32
P033,33,Sahil Khan33,9582334538,CASE-1033,persons_synthetic,33
P034,34,Nikhil Joshi34,9732719211,CASE-1034,persons_synthetic,34
P035,35,Amit Shah35,9398704996,CASE-1035,persons_synthetic,35
P036,36,Raj Malhotra36,9969119330,CASE-1036,persons_synthetic,36
P037,37,Aarav Sharma37,9106977991,CASE-1037,persons_synthetic,37
P038,38,Arjun Mehta38,9914763202,CASE-1038,persons_synthetic,38
P039,39,Rohan Verma39,9965241839,CASE-1039,persons_synthetic,39
