phone_id,phone_number,actor_id,sim_status,network_provider,first_seen_phase,source
PH579303,9786579303,1,ACTIVE,Provider-A,2,persons_synthetic
PH540831,9219540831,2,ACTIVE,Provider-C,3,persons_synthetic
PH855092,9126855092,3,INACTIVE,Provider-A,2,persons_synthetic
PH233790,9896233790,4,INACTIVE,Provider-B,1,persons_synthetic
PH310485,9395310485,5,ACTIVE,Provider-A,1,persons_synthetic
PH950628,9362950628,6,INACTIVE,Provider-B,3,persons_synthetic
PH670711,9339670711,7,ACTIVE,Provider-A,1,persons_synthetic
PH827706,9249827706,8,ACTIVE,Provider-D,1,persons_synthetic
PH779946,9890779946,9,INACTIVE,Provider-C,3,persons_synthetic
PH053353,9210053353,10,ACTIVE,Provider-C,1,persons_synthetic
PH600539,9826600539,11,ACTIVE,Provider-B,1,persons_synthetic
PH285932,9895285932,12,ACTIVE,Provider-B,2,persons_synthetic
PH582861,9685582861,13,ACTIVE,Provider-A,2,persons_synthetic
PH349856,9193349856,14,ACTIVE,Provider-D,3,persons_synthetic
PH036506,9734036506,15,ACTIVE,Provider-C,2,persons_synthetic
PH035110,9553035110,16,INACTIVE,Provider-B,1,persons_synthetic
PH126396,9134126396,17,ACTIVE,Provider-D,2,persons_synthetic
PH994523,9131994523,18,ACTIVE,Provider-C,3,persons_synthetic
PH604502,9200604502,19,INACTIVE,Provider-C,3,persons_synthetic
PH760738,9334760738,20,ACTIVE,Provider-D,2,persons_synthetic
PH817734,9349817734,21,ACTIVE,Provider-C,3,persons_synthetic
PH621108,9642621108,22,INACTIVE,Provider-A,3,persons_synthetic
PH412689,9746412689,23,ACTIVE,Provider-C,1,persons_synthetic
PH492780,9128492780,24,INACTIVE,Provider-C,2,persons_synthetic
PH632297,9702632297,25,ACTIVE,Provider-C,1,persons_synthetic
PH500298,9313500298,26,ACTIVE,Provider-D,2,persons_synthetic
PH820204,9868820204,27,ACTIVE,Provider-D,3,persons_synthetic
PH808098,9797808098,28,INACTIVE,Provider-A,3,persons_synthetic
PH041955,9853041955,29,ACTIVE,Provider-C,2,persons_synthetic
PH126461,9685126461,30,ACTIVE,Provider-B,1,persons_synthetic
PH455977,9550455977,31,ACTIVE,Provider-D,3,persons_synthetic
PH696312,9336696312,32,ACTIVE,Provider-A,1,persons_synthetic
PH334538,9582334538,33,INACTIVE,Provider-D,1,persons_synthetic
PH719211,9732719211,34,ACTIVE,Provider-D,3,persons_synthetic
PH704996,9398704996,35,ACTIVE,Provider-C,2,persons_synthetic
PH119330,9969119330,36,INACTIVE,Provider-A,2,persons_synthetic
PH977991,9106977991,37,INACTIVE,Provider-B,1,persons_synthetic
PH763202,9914763202,38,ACTIVE,Provider-C,2,persons_synthetic
PH241839,9965241839,39,ACTIVE,Provider-C,1,persons_synthetic
PH432881,9271432881,40,ACTIVE,Provider-C,1,persons_synthetic
PH621470,9849621470,41,ACTIVE,Provider-C,3,persons_synthetic
PH778756,9553778756,42,ACTIVE,Provider-B,1,persons_synthetic
PH341213,9465341213,43,ACTIVE,Provider-C,3,persons_synthetic
PH362082,9398362082,44,ACTIVE,Provider-B,2,persons_synthetic
PH944844,9266944844,45,ACTIVE,Provider-A,2,persons_synthetic
PH191390,9331191390,46,ACTIVE,Provider-A,1,persons_synthetic
PH795579,9919795579,47,INACTIVE,Provider-D,3,persons_synthetic
PH415646,9461415646,48,ACTIVE,Provider-A,1,persons_synthetic
PH747451,9209747451,49,INACTIVE,Provider-C,3,persons_synthetic
PH585092,9199585092,50,INACTIVE,Provider-A,2,persons_synthetic
PH943839,9507943839,51,ACTIVE,Provider-B,2,persons_synthetic
PH848421,9203848421,52,ACTIVE,Provider-B,3,persons_synthetic
PH451171,9485451171,53,ACTIVE,Provider-C,2,persons_synthetic
PH319644,9469319644,54,INACTIVE,Provider-A,3,persons_synthetic
PH245888,9748245888,55,INACTIVE,Provider-C,1,persons_synthetic
PH027113,9384027113,56,ACTIVE,Provider-C,1,persons_synthetic
PH647391,9966647391,58,ACTIVE,Provider-A,2,persons_synthetic
PH654552,9146654552,59,ACTIVE,Provider-C,2,persons_synthetic
PH543540,9883543540,61,INACTIVE,Provider-C,1,persons_synthetic
PH303705,9593303705,62,INACTIVE,Provider-D,2,persons_synthetic
PH770529,9675770529,63,ACTIVE,Provider-B,3,persons_synthetic
PH031070,9234031070,64,ACTIVE,Provider-D,2,persons_synthetic
PH448196,9506448196,65,ACTIVE,Provider-B,1,persons_synthetic
PH611066,9184611066,66,INACTIVE,Provider-A,1,persons_synthetic
PH749116,9692749116,67,INACTIVE,Provider-D,2,persons_synthetic
PH797776,9414797776,68,ACTIVE,Provider-C,3,persons_synthetic
